time,station,bewmit,nied,t
2022-10-01T00:00+00:00,5904,83.0,0.0,15.2
2022-10-02T00:00+00:00,5904,83.0,1.5,14.6
2022-10-03T00:00+00:00,5904,37.0,0.0,14.6
2022-10-04T00:00+00:00,5904,53.0,-1.0,14.8
2022-10-05T00:00+00:00,5904,70.0,-1.0,12.8
2022-10-06T00:00+00:00,5904,60.0,-1.0,16.2
2022-10-07T00:00+00:00,5904,47.0,-1.0,15.8
2022-10-08T00:00+00:00,5904,70.0,-1.0,15.3
2022-10-09T00:00+00:00,5904,60.0,-1.0,13.3
2022-10-10T00:00+00:00,5904,67.0,1.0,13.1
2022-10-11T00:00+00:00,5904,60.0,0.1,15.2
2022-10-12T00:00+00:00,5904,83.0,-1.0,13.3
2022-10-13T00:00+00:00,5904,67.0,0.4,12.1
2022-10-14T00:00+00:00,5904,87.0,2.5,12.5
2022-10-15T00:00+00:00,5904,100.0,3.3,12.7
2022-10-16T00:00+00:00,5904,60.0,-1.0,15.1
2022-10-17T00:00+00:00,5904,33.0,-1.0,16.5
2022-10-18T00:00+00:00,5904,17.0,-1.0,14.3
2022-10-19T00:00+00:00,5904,37.0,-1.0,15.2
2022-10-20T00:00+00:00,5904,43.0,-1.0,9.7
2022-10-21T00:00+00:00,5904,90.0,-1.0,10.1
2022-10-22T00:00+00:00,5904,63.0,1.6,11.5
2022-10-23T00:00+00:00,5904,97.0,0.0,11.6
2022-10-24T00:00+00:00,5904,87.0,5.4,14.4
2022-10-25T00:00+00:00,5904,30.0,-1.0,16.1
2022-10-26T00:00+00:00,5904,83.0,0.2,10.6
2022-10-27T00:00+00:00,5904,60.0,0.1,13.1
2022-10-28T00:00+00:00,5904,100.0,0.0,11.8
2022-10-29T00:00+00:00,5904,100.0,-1.0,12.7
2022-10-30T00:00+00:00,5904,100.0,0.0,12.1
