,Kurzbeschreibung,Beschreibung,Einheit
bew07_d,Bewölklungsdichte zum Beobachtungstermine I,"Bewölkungsdichte zum 7 Uhr MEZ Termin - Tabelle klima.tag_code_bewoelkung - klima.tag_code_bewoelkung={0: schwach, 1: mittel, 2: stark, 9: keine Bewoelkungsdichte bzw.wurde nicht beobachtet}",Code
bew07_m,Bewölkungsmenge zum Beobachtungstermin I,Bewölkungsmenge zum 7 Uhr MEZ Termin,1/10
bew14_d,Bewölklungsdichte zum Beobachtungstermin II,"Bewölkungsdichte um 14 Uhr MEZ bzw. MOZ - Tabelle klima.tag_code_bewoelkung - klima.tag_code_bewoelkung={0: schwach, 1: mittel, 2: stark, 9: keine Bewoelkungsdichte bzw.wurde nicht beobachtet}",Code
bew14_m,Bewölkungsmenge zum Beobachtungstermin II,Bewölkungsmenge um 14 Uhr MEZ bzw. MOZ,1/10
bew19_d,Bewölklungsdichte zum Beobachtungstermin III,"Bewölkungsdichte um 19 Uhr MEZ bzw. MOZ / vor 1971: 21 Uhr MOZ - Tabelle klima.tag_code_bewoelkung - klima.tag_code_bewoelkung={0: schwach, 1: mittel, 2: stark, 9: keine Bewoelkungsdichte bzw.wurde nicht beobachtet}",Code
bew19_m,Bewölkungsmenge zum Beobachtungstermin III,Bewölkungsmenge um 19 Uhr MEZ bzw. MOZ  / vor 1971: 21 Uhr MOZ,1/10
bewmit,"Bewölkungsmenge Tagesmittel der Beobachtungstermine I,II,III",Bewölkungsmittel des Tages - 10 * (bew07_m + bew14_m + bew19_m) / 3,1/100
code_b,abgesetzter Niederschlag - Code b,"Code B (abgesetzter Niederschlag), Tageswert aus Beobachtung - Tabelle klima.tag_code_b - klima.tag_code_b={0: kein abg.Niederschlag, 1: Tau, 2: Glatteis, 3: Reif, 4: Raureif, 5: Tau und Glatteis, 6: Reif und Glatteis, 7: Raureif und Glatteis, 8: Reif und Raureif, 9: Reif, Raureif und Glatteis, 10: Tau und Reif, 11: Tau und Glatteis und Reif, 99: Code B nicht gemessen}",Code
code_c,sonstige Wettererscheinungen - Code c,"für reine Beobachtungsstationen: historisch alles beobachtet, ab 1.1.2019 nur mehr Nebel (-> zusätzlich Gewitterindikator aus ALDIS)  / für Stationen mit Beobachtung und Automat: historisch Nebel, Gewitter und Wind beobachtet, ab 1996 Wind Bft 6 und Bft 8 aus TAWES,  ab 1.1.2019 nur mehr Nebel (-> zusätzlich  Gewitterindikator aus ALDIS) / für reine Automatenstationen: kein Code C (aber Gewitterindikator aus ALDIS, siehe gew) - Tabelle klima.tag_code_c - klima.tag_code_c={0: keine sonstigen Wettererscheinungen, 1: Nebel, 2: Gewitter, 3: Wind größer gleich 6 Bft. kleiner 8 Bft., 4: Wind größer gleich 8 Bft, 5: Nebel und Gewitter, 6: Nebel und Wind größer gleich 6 Bft und kleiner 8 Bft., 7: Nebel und Wind größer gleich 8 Bft, 8: Gewitter und Wind größer gleich 6 Bft. und kleiner 8 Bft., 9: Gewitter und Wind größer gleich 8 Bft., 10: Nebel und Gewitter und Wind größer gleich 6 Bft. und kleiner 8 Bft., 11: Nebel und Gewitter und Wind größer gleich 8 Bft., 99: wurde nicht beobachtet}",Code
dampf07,Dampfdruck zum Beobachtungstermin I,"Dampfdruck um 7 Uhr MEZ bzw. MOZ,  berechnet aus Lufttemperatur und Relativer Feuchte - Berechnung aus t7, rel07 (Goff-Gratch-Formel)",hPa
dampf14,Dampfdruck zum Beobachtungstermin II,"Dampfdruck um 14 Uhr MEZ bzw. MOZ,  berechnet aus Lufttemperatur und Relativer Feuchte - Berechnung aus t14, rel14 (Goff-Gratch-Formel)",hPa
dampf19,Dampfdruck zum Beobachtungstermin III,"Dampfdruck um 19 Uhr MEZ bzw. MOZ,  berechnet aus Lufttemperatur und Relativer Feuchte / vor 1971: 21 Uhr  MOZ - Berechnung aus t19, rel19 (Goff-Gratch-Formel)",hPa
dampfmit,Dampfdruck Tagesmittel,"Dampfdruck, Tagesmittel aus allen Terminwerten berechnet - (dampf07 + dampf14 + dampf19) / 3",hPa
dd07,Windrichtung in 32 Sektoren zum Beobachtungstermin I,"Windrichtung um 7 Uhr MEZ bzw. MOZ, in Sektoren: 8 teilig + 0 - 8=O, 16=S, 24=W, 32=N, 4er Schritte, 0=Calme",
dd14,Windrichtung in 32 Sektoren zum Beobachtungstermin II,"Windrichtung um 14 Uhr MEZ bzw. MOZ, in Sektoren: 8 teilig + 0 - 8=O, 16=S, 24=W, 32=N, 4er Schritte, 0=Calme",
dd19,Windrichtung in 32 Sektoren zum Beobachtungstermin III,"Windrichtung um 19 Uhr MEZ bzw. MOZ / vor 1971: 21 Uhr MOZ, in Sektoren: 8 teilig + 0 - 8=O, 16=S, 24=W, 32=N, 4er Schritte, 0=Calme",
druck07,Luftdruck zum Beobachtungstermin I,Luftdruck um 7 Uhr MEZ bzw. MOZ,hPa
druck14,Luftdruck zum Beobachtungstermin II,Luftdruck um 14 Uhr MEZ bzw. MOZ,hPa
druck19,Luftdruck zum Beobachtungstermin III,Luftdruck um 19 Uhr MEZ bzw. MOZ / vor 1971: 21 Uhr  MOZ,hPa
druckmit,Luftdruck Tagesmittel,"Luftdruck, Tagesmittel der Beobachtungstermine - (druck07 + druck14 + druck19) / 3",hPa
erdb07,Erdbodenzustand zum Beobachtungstermin I,"Erdbodenzustand um 7 Uhr MEZ bzw. MOZ - Tabelle klima.tag_code_erdboden - klima.tag_code_erdboden={0: trocken, 1: feucht, 2: nass (kleinere oder größere Pfützen), 3: hartgefroren und trocken, 4: Glatteis, Schnee oder Schneematsch, 5: Eis,Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken), 6: Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen), 7: Eis, Schnee oder Schneematsch, vollständig bedeckt, 8: lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen), 9: lockerer, trockener Schnee, Boden vollständig bedeckt, 99: rdbodenzustand wurde nicht beobachtet}",Code
